subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Perkebunan;Tembakau;Kalimantan Selatan;2026;0;0;4;0,486837436;0;-514,9988403;-514,9988403;146,3333333;944,3333333;313;-207,7190704;313;-241,9492509;0,007618618;484;9
Perkebunan;Tembakau;Sumatera Barat;2026;777,5555557;271,3333333;1;0,486837436;165,3893601;-2300,541016;-2300,541016;22641,62;7910,29;33,98420984;30927,35547;33,98420984;36,59515295;0,002682071;770;30
Perkebunan;Aren;Jawa Barat;2026;7134,555556;14515,55556;2;0,326927589;65822,39675;66963,14063;66963,14063;2458,666667;8717,666667;662,4444444;2422,527344;662,4444444;-1,469874847;0,016120976;293;17
Perkebunan;Cengkeh;Jawa Barat;2026;453,1111111;33926,11111;3;0,305949423;8653,194567;8274,142578;8274,142578;6410,666667;21273,22222;638,8888889;6894,431641;638,8888889;7,546250634;0,016065262;297;18
Perkebunan;Jambu Mete;Jawa Barat;2026;355,3333333;23;2;0,349646015;5,526355556;-962,336731;-962,336731;5481,333333;11542,44444;650,2222222;4206,429199;650,2222222;-23,25901485;0,015912743;298;19
Perkebunan;Kakao;Jawa Barat;2026;391,2222222;5154,777778;3;0,292315492;691,6822522;578,4215088;578,4215088;845;2320,333333;624,4444444;1325,520386;624,4444444;56,86631784;0,01511242;315;20
Perkebunan;Kapuk;Jawa Barat;2026;268,2222222;1405,888889;1;0,825865712;172,4140499;93,15755463;93,15755463;3053,333333;10309,88889;617,3333333;2804,537842;617,3333333;-8,148323959;0,015093361;316;21
Perkebunan;Karet;Jawa Barat;2026;1356;38430,33333;3;0,429076057;22064,23668;23010,1582;23010,1582;452;1337,222222;596,1111111;190,0192871;596,1111111;-57,96033471;0,014427361;328;22
Perkebunan;Kayu Manis;Jawa Barat;2026;123,5555556;72,77777778;3;0,507886572;9,124333333;-680,142334;-680,142334;7751;22766,77778;511;8762,427734;511;13,0489967;0,013242478;348;23
Perkebunan;Kelapa;Jawa Barat;2026;866;141172,1111;1;0,299446572;86792,90322;82478,77344;82478,77344;123,3333333;255,8888889;514,8888889;-748,3870239;514,8888889;-706,8002897;0,012476761;366;24
Perkebunan;Kelapa Sawit;Jawa Barat;2026;4541,111111;15544,33333;4;0,369209793;44798,95475;49596,13281;49596,13281;222,6666667;2110,777778;484,1111111;1003,700684;484,1111111;350,7637801;0,011750068;385;25
Perkebunan;Kemiri;Jawa Barat;2026;599,7777778;1464;2;0,379593335;250,1544444;931,6982422;931,6982422;2713,333333;9281,666667;461,2222222;4675,13916;461,2222222;72,30242605;0,011361362;392;26
Perkebunan;Kopi Arabica;Jawa Barat;2026;770,8888889;35904,55556;4;0,405448294;14973,05409;15351,37305;15351,37305;2025;6322,111111;420,4444444;2575,515381;420,4444444;27,18594473;0,010297558;416;27
Perkebunan;Kopi Robusta;Jawa Barat;2026;696,5555556;18712,22222;1;0,332957999;8839,233278;9100,201172;9100,201172;137,3333333;903;413,3333333;-142,2651825;413,3333333;-203,5911523;0,010038855;419;28
Perkebunan;Lada;Jawa Barat;2026;638,4444444;2281,888889;1;0,34142663;840,1542778;1287,862427;1287,862427;137,6666667;1317,555556;272,1111111;6,226778984;272,1111111;-95,47691599;0,006632912;523;29
Perkebunan;Pala;Jawa Barat;2026;0,251111111;13410;2;0,376517578;1466,933955;2924,737549;2924,737549;15;392,2222222;262,4444444;-828,9086914;262,4444444;-5626,057943;0,006392187;533;30
Perkebunan;Panili;Jawa Barat;2026;313;944,3333333;3;0,337091575;160,2871733;-207,7190704;-207,7190704;126;1348,777778;218,4444444;-84,90416718;218,4444444;-167,3842597;0,005333809;573;31
Perkebunan;Sagu;Jawa Barat;2026;0;0;1;0,423813304;0;1078,439453;1078,439453;0,333333333;18;165,7777778;-642,2299194;165,7777778;-192768,9758;0,0040465;645;32
Perkebunan;Tebu;Jawa Barat;2026;3547,222222;15041,11111;3;0,523048354;54966,17639;54158,47266;54158,47266;4;227,5555556;94,33333333;-619,0130615;94,33333333;-15575,32654;0,002309531;823;33
Perkebunan;Teh;Jawa Barat;2026;1,004889798;76151,66667;2;0,885351589;76291,14864;59591,74219;59591,74219;0;0;0;-448,2593994;0;0;0,000156684;1302;34
Pangan;Ubi Jalar;Jawa Barat;2026;217,6713072;19291,66667;1;0,40965744;393224,3472;379927,7188;379927,7188;2359;15494,22222;157;1161,936401;157;-50,74453576;0,004947655;587;29
Perkebunan;Aren;Kalimantan Selatan;2026;1182,444444;2205,777778;4;0,326927589;1641,132667;2094,530029;2094,530029;0;0;0;-448,2593994;0;0;0,000156684;1302;20
Perkebunan;Cengkeh;Kalimantan Selatan;2026;182,6666667;315,7777778;1;0,305949423;37,29697667;-813,7766113;-813,7766113;0;0;0;-448,2593994;0;0;0,000156684;1302;20
Perkebunan;Jambu Mete;Kalimantan Selatan;2026;363,6666667;22;2;0,349646015;7,865544444;-875,0471802;-875,0471802;0;0;0;-448,2593994;0;0;0,000156684;1302;20
Perkebunan;Kakao;Kalimantan Selatan;2026;449,5555556;334,5555556;3;0,292315492;58,50576667;-748,3870239;-748,3870239;0;28,88888889;0;-452,0211792;0;0;0,000156616;1303;21
Perkebunan;Kapuk;Kalimantan Selatan;2026;194,2222222;110,8888889;1;0,825865712;20,24267556;-914,1495361;-914,1495361;0;0;0;-650,4591675;0;0;0,000147201;1316;22
Perkebunan;Karet;Kalimantan Selatan;2026;1339;186242;3;0,429076057;147241,591;128671,7813;128671,7813;7;394,3333333;0,138888889;-1367,875366;0,138888889;-19641,07666;0,000138647;1317;23
