subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Pangan;Kacang Tanah;Jawa Tengah;2026;13,44266583;37653,33333;2;0,46112208;50728,52037;49569,26953;49569,26953;0;0;0;-514,9988403;0;0;0,000153554;1312;32
Pangan;Kacang Tanah;Jawa Timur;2026;13,25264318;76290,66667;1;0,46112208;99226,83467;95784,92969;95784,92969;1092,333333;6493,955556;636,1111111;1818,10083;636,1111111;66,44194355;0,015446839;308;5
Pangan;Kacang Tanah;Kalimantan Barat;2026;10,23036304;521,6666667;2;0,46112208;528,2876128;-203,4165955;-203,4165955;6,333333333;23;355,3333333;-962,336731;355,3333333;-15294,79049;0,00863702;451;12
Pangan;Kacang Tanah;Kalimantan Selatan;2026;12,45571429;1780;2;0,46112208;2163,607554;2329,954102;2329,954102;0,093333333;94,77777778;11,22111111;-481,2341614;11,22111111;-515708,03;0,000315898;1220;19
Pangan;Kacang Tanah;Kalimantan Tengah;2026;13,1077193;151;2;0,46112208;175,6622435;-365,3742981;-365,3742981;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Kacang Tanah;Kalimantan Timur;2026;13,43355759;366;2;0,46112208;487,86258;-365,3742981;-365,3742981;0;0;0;-650,4591675;0;0;0,000147201;1316;24
Pangan;Kacang Tanah;Kalimantan Utara;2026;11,52352941;47;2;0,46112208;61,86432317;-391,816803;-391,816803;8;26;1262,444444;-784,234375;1262,444444;-9902,929688;0,030148309;153;6
Pangan;Kacang Tanah;Kepulauan Bangka Belitung;2026;10,77987342;179,6666667;2;0,46112208;189,4749375;-306,6873779;-306,6873779;21025,66667;61095,11111;705,8888889;23561,31445;705,8888889;12,05977355;0,021100178;229;13
Pangan;Kacang Tanah;Kepulauan Riau;2026;10,83494253;50,33333333;2;0,46112208;60,96254153;-310,4491577;-310,4491577;2784;4950,666667;686,7777778;2085,247803;686,7777778;-25,09885766;0,016629666;283;20
Pangan;Kacang Tanah;Lampung;2026;14,03679026;1061,333333;2;0,46112208;1335,380209;524,6636963;524,6636963;813;2761,777778;484,8888889;1222,913208;484,8888889;50,41982878;0,011775576;383;27
