subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Perkebunan;Aren;Sulawesi Tenggara;2026;1;0,326568799;574,0693333;3202,666667;573,1111111;9558,841797;573,1111111;1565,102322;0,015338616;385;22;30,03444444;204,9522222;453,5811878;349,104126;349,104126;-10,64200161;30,03444444
Perkebunan;Aren;Sulawesi Utara;2026;2;0,326568799;3641,094333;5109,888889;525,2222222;12107,21289;525,2222222;232,5157709;0,014133118;403;23;51,6;619,9666667;2763,558968;-3515,855225;3515,855225;-327,8164269;51,6
Perkebunan;Aren;Sumatera Barat;2026;2;0,326568799;224003,8363;1407,333333;1557,888889;99847,33594;1557,888889;-55,42605985;0,042562387;155;10;152,8944444;15012,49333;108325,2327;25366,51367;25366,51367;-40,44377092;152,8944444
Perkebunan;Aren;Sumatera Selatan;2026;2;0,326568799;1074,469333;882,7777778;629,6666667;17516,87109;629,6666667;1530,281158;0,016805977;360;21;72,99222222;145,6911111;1759,193284;5566,836426;5566,836426;95,79647492;72,99222222
Perkebunan;Aren;Sumatera Utara;2026;2;0,326568799;62830,02967;7451,444444;1892,888889;64763,64063;1892,888889;3,077526731;0,049220981;134;8;151,64;4097,752222;51010,3564;49956,58203;49956,58203;-2,897599567;151,64
Hortikultura;Bawang Merah;Aceh;2026;3;0,351342382;435,7333333;1422,857778;91,59111111;2487,492676;91,59111111;470,8750021;0,003039813;934;11;43,17777778;90,83333333;49240,48533;15538,83301;15538,83301;-77,00475067;43,17777778
Hortikultura;Bawang Merah;Bali;2026;4;0,351342382;5631,232;1195,626667;292,0122222;5282,471191;292,0122222;-6,193330493;0,008008909;546;3;95,33555556;543,5222222;27181,86926;22837,3418;22837,3418;-4,886578772;95,33555556
Hortikultura;Bawang Merah;Banten;2026;3;0,351342382;98,13333333;172,2022222;60,10333333;802,3323364;60,10333333;717,5940928;0,002370955;1037;19;45,65111111;20,74444444;5805,619151;5227,430664;5227,430664;59,3436569;45,65111111
Hortikultura;Bawang Merah;Bengkulu;2026;3;0,351342382;29844,47367;121,2977778;63,96111111;-4013,843506;63,96111111;-113,4492019;0,002885613;949;13;195,9977778;1434,037778;20753,46443;22399,45703;22399,45703;-1,440758236;195,9977778
Hortikultura;Bawang Merah;Daerah Istimewa Yogyakarta;2026;3;0,351342382;268,3033333;2892,897778;110,0266667;3146,785889;110,0266667;1072,846364;0,003500156;873;10;119,5377778;24,93333333;16618,29171;38172,97656;38172,97656;74,39688174;119,5377778
Hortikultura;Bawang Merah;Daerah Khusus Ibukota Jakarta;2026;3;0,351342382;0;1,563333333;35,51777778;-3566,766113;35,51777778;0;0,001921322;1224;28;0;0;640,7480922;268,7600403;268,7600403;1821,773617;0
Hortikultura;Bawang Merah;Gorontalo;2026;3;0,351342382;19,8;40,1;62,65111111;454,9728088;62,65111111;2197,842469;0,002413337;1026;18;28,11111111;1,555555556;10160,8558;4088,301758;4088,301758;-69,86514574;28,11111111
Hortikultura;Bawang Merah;Jambi;2026;3;0,351342382;6079,033333;1872,966667;81,94666667;3986,75293;81,94666667;-34,4179788;0,002883922;951;14;122,25;515,3666667;22985,02677;27730,04492;27730,04492;15,39103295;122,25
Hortikultura;Bawang Merah;Jawa Barat;2026;4;0,351342382;81039,90333;17011,37556;111,7255556;73965,19531;111,7255556;-8,729906786;0,007249239;586;4;169,8977778;4558,45;143103,228;86108,71875;86108,71875;-45,82064082;169,8977778
Hortikultura;Bawang Merah;Jawa Tengah;2026;4;0,351342382;5257;49970,72;108,7555556;208129,9688;108,7555556;3859,101555;0,012929845;426;1;110,1777778;2718,534444;5756,422883;6767,14209;6767,14209;-94,79568322;110,1777778
Hortikultura;Bawang Merah;Jawa Timur;2026;4;0,351342382;25672,61633;52266,14778;91,98888889;140269,0469;91,98888889;446,3761272;0,012731084;430;2;121,5411111;2065,182222;481774,6432;337769,9063;337769,9063;-43,02621293;121,5411111
Hortikultura;Bawang Merah;Kalimantan Barat;2026;3;0,351342382;1045,588667;25,34333333;22,49666667;5094,189941;22,49666667;387,2078384;0,001911731;1234;29;22,10888889;458,58;10070,76921;30122,38086;30122,38086;277,4904425;22,10888889
Hortikultura;Bawang Merah;Kalimantan Selatan;2026;3;0,351342382;2149,911667;82,77111111;55,43888889;1300,30603;55,43888889;-39,51816484;0,002297176;1056;21;50,13333333;432,4866667;13265,60677;2742,864258;2742,864258;-78,11199506;50,13333333
Hortikultura;Bawang Merah;Kalimantan Tengah;2026;3;0,351342382;1336,242667;18,95111111;34,30111111;1226,996338;34,30111111;-8,175635422;0,001975863;1192;27;81,93444444;146,1533333;8487,175482;5785,660156;5785,660156;6,04694621;81,93444444
Hortikultura;Bawang Merah;Kalimantan Timur;2026;3;0,351342382;4261,9;53,95444444;51,44111111;287,4873352;51,44111111;-93,25447957;0,002225393;1079;22;89,03222222;434,3766667;10443,69398;5416,535645;5416,535645;-25,1717537;89,03222222
Hortikultura;Bawang Merah;Kalimantan Utara;2026;4;0,351342382;3120,31;5,177777778;144,7544444;1645,765137;144,7544444;-47,25635797;0,004253575;780;9;173,4666667;184,9388889;12699,70352;8723,547852;8723,547852;36,32030261;173,4666667
Hortikultura;Bawang Merah;Kepulauan Bangka Belitung;2026;3;0,351342382;685,3996667;27,98444444;49,66888889;-1192,068359;49,66888889;-273,9231017;0,002164923;1108;26;88,88666667;80,60888889;7791,766626;1526,255981;1526,255981;-69,93002947;88,88666667
Hortikultura;Bawang Merah;Kepulauan Riau;2026;3;0,351342382;186,4333333;7,13;73,72;-7401,902832;73,72;-4070,267923;0,002546248;1003;17;103,1466667;20,76777778;3803,318229;-1714,196289;1714,196289;-214,1388039;103,1466667
